읍면동명,업종명,연령대,1인당 이용금액
해안동,숙박,10_20,261568.81818181818
호근동,숙박,10_20,129264.74074074074
화북일동,숙박,10_20,15000.0
회수동,숙박,10_20,329397.45454545453
회천동,숙박,10_20,1106178.431372549
강정동,숙박,30_40_50,1478153.327548807
건입동,숙박,30_40_50,1051499.8378378379
구좌읍,숙박,30_40_50,745197.6147540984
남원읍,숙박,30_40_50,1037294.2941176471
내도동,숙박,30_40_50,620140.3220338983
노형동,숙박,30_40_50,1134190.9391304348
대정읍,숙박,30_40_50,1192916.3472222222
대포동,숙박,30_40_50,1294162.935483871
도남동,숙박,30_40_50,192384.61538461538
도두이동,숙박,30_40_50,288165.1219512195
도두일동,숙박,30_40_50,1164090.3969465648
도순동,숙박,30_40_50,99653.84615384616
동홍동,숙박,30_40_50,63100.0
법환동,숙박,30_40_50,734723.8527397261
보목동,숙박,30_40_50,311500.0
봉개동,숙박,30_40_50,196877.28695652174
삼도이동,숙박,30_40_50,1318954.8020833333
삼도일동,숙박,30_40_50,1369704.1182795698
삼양삼동,숙박,30_40_50,58000.0
삼양이동,숙박,30_40_50,417192.63565891475
삼양일동,숙박,30_40_50,144573.07692307694
상예동,숙박,30_40_50,834288.2903225806
상효동,숙박,30_40_50,362830.0917431193
색달동,숙박,30_40_50,1242568.2417582418
서귀동,숙박,30_40_50,680740.1582278481
서호동,숙박,30_40_50,1427476.2
서홍동,숙박,30_40_50,409707.00833333336
성산읍,숙박,30_40_50,1164791.2576271186
신효동,숙박,30_40_50,196346.15384615384
아라이동,숙박,30_40_50,56826.92307692308
아라일동,숙박,30_40_50,273015.11627906974
안덕면,숙박,30_40_50,1356507.7309941521
애월읍,숙박,30_40_50,671846.953416149
연동,숙박,30_40_50,963837.4285714285
영남동,숙박,30_40_50,431566.2450980392
오등동,숙박,30_40_50,1552848.203125
오라이동,숙박,30_40_50,437427.55555555556
오라일동,숙박,30_40_50,788938.9064748201
외도이동,숙박,30_40_50,855808.1081081082
외도일동,숙박,30_40_50,902432.9794871794
용담삼동,숙박,30_40_50,1143937.6642335767
용담이동,숙박,30_40_50,775378.6324786325
용담일동,숙박,30_40_50,446557.91964285716
우도면,숙박,30_40_50,262049.1452991453
월평동,숙박,30_40_50,260000.0
